SINGLE LEVEL VARIABLES ,ISEC,ITEM,STASH,TYPE,FREQUENCY,QUESTIONS/OBSERVATIONS,TIME PROFILE,DOM PROFILE,USE,PACKAGE
LARGE SCALE RAIN AMOUNT KG/M2/TS,4,201,m01s04i201,Instant.,3 hourly,,T3HACUM,DIAG,UPA,2D Standard Diagnostics
LARGE SCALE SNOW AMOUNT KG/M2/TS,4,202,m01s04i202,Instant.,3 hourly,,T3HACUM,DIAG,UPA,2D Standard Diagnostics
CONVECTIVE RAIN AMOUNT KG/M2/TS,5,201,m01s05i201,Instant.,3 hourly,,T3HACUM,DIAG,UPA,2D Standard Diagnostics
CONVECTIVE SNOW AMOUNT KG/M2/TS,5,202,m01s05i202,Instant.,3 hourly,,T3HACUM,DIAG,UPA,2D Standard Diagnostics
TOTAL PRECIPITATION AMOUNT KG/M2/TS,5,226,m01s05i226,Instant.,3 hourly,,T3HACUM,DIAG,UPA,2D Standard Diagnostics
RADAR REFLECTIVITY AT 1KM AGL (dBZ),4,112,m01s04i112,Instant.,3 hourly,,T3HINST,DIAG,UPA,2D Standard Diagnostics
CLOUD DROP NUMBER CONC. /m3,4,210,m01s04i210,Instant.,3 hourly,,T3HINST,DIAG,UPA,2D Standard Diagnostics
NET DOWN SURFACE SW FLUX : CORRECTED,1,202,m01s01i202,mean,3 hourly,Also daily mean?,T3HMN,DIAG,UPA,2D Standard Diagnostics
INCOMING SW RAD FLUX (TOA): ALL TSS,1,207,m01s01i207,mean,3 hourly,Also daily mean?,T3HMN,DIAG,UPA,2D Standard Diagnostics
OUTGOING SW RAD FLUX (TOA),1,208,m01s01i208,mean,3 hourly,Also daily mean?,T3HMN,DIAG,UPA,2D Standard Diagnostics
CLEAR-SKY (II) UPWARD SW FLUX (TOA),1,209,m01s01i209,mean,3 hourly,Also daily mean?,T3HMN,DIAG,UPA,2D Standard Diagnostics
CLEAR-SKY (II) DOWN SURFACE SW FLUX,1,210,m01s01i210,mean,3 hourly,Also daily mean?,T3HMN,DIAG,UPA,2D Standard Diagnostics
CLEAR-SKY (II) UP SURFACE SW FLUX,1,211,m01s01i211,mean,3 hourly,Also daily mean?,T3HMN,DIAG,UPA,2D Standard Diagnostics
TOTAL DOWNWARD SURFACE SW FLUX,1,235,m01s01i235,mean,3 hourly,Also daily mean?,T3HMN,DIAG,UPA,2D Standard Diagnostics
NET DOWN SURFACE LW RAD FLUX,2,201,m01s02i201,mean,3 hourly,Also daily mean?,T3HMN,DIAG,UPA,2D Standard Diagnostics
OUTGOING LW RAD FLUX (TOA),2,205,m01s02i205,mean,3 hourly,Also daily mean?,T3HMN,DIAG,UPA,2D Standard Diagnostics
CLEAR-SKY (II) UPWARD LW FLUX (TOA),2,206,m01s02i206,mean,3 hourly,Also daily mean?,T3HMN,DIAG,UPA,2D Standard Diagnostics
DOWNWARD LW RAD FLUX: SURFACE,2,207,m01s02i207,mean,3 hourly,Also daily mean?,T3HMN,DIAG,UPA,2D Standard Diagnostics
CLEAR-SKY (II) DOWN SURFACE LW FLUX,2,208,m01s02i208,mean,3 hourly,Also daily mean?,T3HMN,DIAG,UPA,2D Standard Diagnostics
LOW CLOUD AMOUNT,9,203,m01s09i203,Instant.,3 hourly,Also daily mean?,T3HINST,DIAG,UPA,2D Standard Diagnostics
MEDIUM CLOUD AMOUNT,9,204,m01s09i204,Instant.,3 hourly,Also daily mean?,T3HINST,DIAG,UPA,2D Standard Diagnostics
HIGH CLOUD AMOUNT,9,205,m01s09i205,Instant.,3 hourly,Also daily mean?,T3HINST,DIAG,UPA,2D Standard Diagnostics
TOTAL CLOUD AMOUNT - RANDOM OVERLAP,9,216,m01s09i216,Instant.,3 hourly,Also daily mean?,T3HINST,DIAG,UPA,2D Standard Diagnostics
TOTAL COLUMN QCL RHO GRID,30,405,m01s30i405,Instant.,3 hourly,Also daily mean?,T3HINST,DIAG,UPA,2D Standard Diagnostics
